=== Class Histogram (HotSpot DiagnosticCommand) ===
Platform  : JDK=17 vendor=Oracle Corporation vm=Java HotSpot(TM) 64-Bit Server VM pid=52983 graalNative=false j9=false
Process   : 52983@kr15py
Time      : Wed Sep 16 11:29:41 AEST 2026

 num     #instances         #bytes  class name (module)
 243:             6            288  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 244:             9            288  jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl (java.base@17.0.15)
 245:             9            288  sun.util.resources.Bundles$CacheKey (java.base@17.0.15)
 246:             7            280  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17.0.15)
 247:             7            280  java.util.EnumMap (java.base@17.0.15)
 248:             5            280  sun.util.calendar.ZoneInfo (java.base@17.0.15)
 249:             2            272  com.ibm.oomwatchdog.model.JvmSnapshot
 250:            11            264  com.sun.tools.javac.comp.CompileStates$CompileState (jdk.compiler@17.0.15)
 251:            11            264  com.sun.tools.javac.comp.Operators$OperatorType (jdk.compiler@17.0.15)
 252:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@17.0.15)
 253:             3            264  java.util.regex.Pattern (java.base@17.0.15)
 254:             8            256  com.sun.tools.javac.code.Symbol$OperatorSymbol$AccessCode (jdk.compiler@17.0.15)
 255:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@17.0.15)
 256:             2            256  sun.nio.fs.UnixFileAttributes (java.base@17.0.15)
 257:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@17.0.15)
 258:            15            240  com.sun.tools.javac.code.Kinds$KindSelector (jdk.compiler@17.0.15)
 259:             6            240  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.15)
 260:            10            240  java.nio.charset.CoderResult (java.base@17.0.15)
 261:            10            240  java.nio.file.StandardOpenOption (java.base@17.0.15)
 262:            10            240  java.util.concurrent.atomic.AtomicLong (java.base@17.0.15)
 263:             6            240  java.util.stream.StreamOpFlag (java.base@17.0.15)
 264:             6            240  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17.0.15)
 265:             6            240  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@17.0.15)
 266:            14            224  [Ljava.security.Principal; (java.base@17.0.15)
 267:            14            224  java.security.ProtectionDomain$Key (java.base@17.0.15)
 268:             4            224  java.util.Properties (java.base@17.0.15)
 269:             9            216  com.sun.tools.javac.util.Dependencies$CompletionCause (jdk.compiler@17.0.15)
 270:             9            216  java.nio.file.attribute.PosixFilePermission (java.base@17.0.15)
 271:             9            216  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.15)
 272:             9            216  sun.util.logging.PlatformLogger$Level (java.base@17.0.15)
 273:             2            208  [Ljavax.lang.model.type.TypeKind; (java.compiler@17.0.15)
 274:            13            208  com.sun.tools.javac.file.RelativePath$RelativeDirectory (jdk.compiler@17.0.15)
 275:            13            208  java.text.NumberFormat$Field (java.base@17.0.15)
 276:             2            200  [Ljava.text.DateFormat$Field; (java.base@17.0.15)
 277:             5            200  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.15)
 278:             5            200  java.util.IdentityHashMap (java.base@17.0.15)
 279:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@17.0.15)
 280:             8            192  com.sun.tools.javac.comp.Resolve$VerboseResolutionMode (jdk.compiler@17.0.15)
 281:             8            192  com.sun.tools.javac.util.JCDiagnostic$DiagnosticFlag (jdk.compiler@17.0.15)
